temporada;time;tgols
2021;Athletico-PR;41
2021;Atletico-GO;33
2021;Atletico-MG;67
2021;Bahia;42
2021;Bragantino;55
2021;Ceara;39
2021;Chapecoense;27
2021;Corinthians;40
2021;Cuiaba;34
2021;Flamengo;69
2021;Fluminense;38
2021;Fortaleza;44
2021;Gremio;44
2021;Internacional;44
2021;Juventude;36
2021;Palmeiras;58
2021;Santos;35
2021;Sao Paulo;31
2021;Sport;24
2022;America-MG;40
2022;Athletico-PR;48
2022;Atletico-GO;39
2022;Atletico-MG;45
2022;Avai;34
2022;Botafogo-RJ;41
2022;Bragantino;49
2022;Ceara;34
2022;Corinthians;44
2022;Coritiba;39
2022;Cuiaba;31
2022;Flamengo;60
2022;Fluminense;63
2022;Fortaleza;46
2022;Goias;40
2022;Internacional;58
2022;Juventude;29
2022;Palmeiras;66
2022;Santos;44
2022;Sao Paulo;55
