Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,Partidas,-9999
520,Pará,br BRA,ZG,Flamengo,31,1986,20,16,1.454,16.2,0,1,1,0,0,0,4,0,,,,000,006,006,000,006,Partidas,64f3f8ee
521,Nino Paraíba,br BRA,ZG,Bahia,32,1986,22,19,1.712,19.0,0,1,1,0,0,0,4,0,,,,000,005,005,000,005,Partidas,403ef062
522,Pablo Pardal,br BRA,LT,Sport Recife,18,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,68c9057d
523,Patrick,br BRA,ZG,Cruzeiro,20,1997,6,3,393,4.4,0,1,1,0,0,0,0,0,,,,000,023,023,000,023,Partidas,c5b2d65e
524,Patrick,br BRA,ZG,Ceará,20,1997,1,1,90,1.0,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,e857a755
525,Patrick,br BRA,LT,Internacional,25,1992,36,35,3.072,34.1,5,3,8,5,0,0,7,0,,,,015,009,023,015,023,Partidas,92add14e
526,Paulão,br BRA,ZG,América (MG),31,1986,5,4,334,3.7,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,20587790
527,Paulão,br BRA,ZG,Vasco da Gama,31,1986,5,5,450,5.0,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,20587790
528,Paulinho,br BRA,ZGLT,Bahia,23,1995,7,6,481,5.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,f3fa599d
529,Paulinho,br BRA,ATLT,São Paulo,19,1998,2,0,24,0.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,bc486f0e
530,Wellington Paulista,br BRA,ATLT,Chapecoense,33,1984,24,22,1.944,21.6,5,2,7,4,1,1,7,0,,,,023,009,032,019,028,Partidas,f2eece5b
531,João Paulo Mior,br BRA,LT,Botafogo (RJ),26,1991,2,0,43,0.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,b96aa1d6
532,Esteban Pavez,cl CHI,ZGLT,Atl Paranaense,27,1990,7,6,501,5.6,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,bff05389
533,Pedrinho,br BRA,LT,Corinthians,19,1998,35,27,2.389,26.5,0,2,2,0,0,0,2,0,,,,000,008,008,000,008,Partidas,6796e284
534,Pedro,br BRA,AT,Fluminense,20,1997,19,19,1.595,17.7,10,2,12,10,0,0,1,0,,,,056,011,068,056,068,Partidas,1ab6fad3
535,João Pedro Heinen,br BRA,LT,Botafogo (RJ),21,1997,8,4,259,2.9,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,099af7ab
536,João Pedro,br BRA,ZG,Bahia,21,1996,3,3,270,3.0,0,1,1,0,0,0,0,0,,,,000,033,033,000,033,Partidas,31d1ed52
537,Matheus Peixoto,br BRA,AT,Sport Recife,22,1995,8,2,233,2.6,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,05160796
538,Léo Pelé,br BRA,ZG,Bahia,21,1996,32,32,2.859,31.8,0,1,1,0,0,0,2,0,,,,000,003,003,000,003,Partidas,77980eb9
539,Pepê,br BRA,LT,Grêmio,20,1997,20,7,809,9.0,2,0,2,2,0,0,1,0,,,,022,000,022,022,022,Partidas,fc4e7637
540,Egídio Pereira Júnior,br BRA,ZG,Cruzeiro,31,1986,25,24,2.205,24.5,0,1,1,0,0,0,4,0,,,,000,004,004,000,004,Partidas,6c5b3d31
