Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999
52,Márcio Azevedo,br BRA,ZG,Atl Paranaense,32,1986,26,20,1.867,20.7,1,3,4,1,0,0,7,0,0.3,0.3,3.7,40,45,110,120,005,014,019,005,019,001,018,019,001,019,Partidas,53fc526b
53,Robson Bambu,br BRA,ZG,Atl Paranaense,21,1997,8,7,599,6.7,0,0,0,0,0,0,2,0,0.6,0.6,0.0,06,5,27,2,000,000,000,000,000,008,001,009,008,009,Partidas,d4fa7d01
54,Diogo Barbosa,br BRA,ZG,Palmeiras,26,1992,33,33,2.970,33.0,0,2,2,0,0,0,4,0,1.2,1.2,2.0,32,103,152,150,000,006,006,000,006,003,006,010,003,010,Partidas,7b9ef26b
55,Gabriel Barbosa,br BRA,AT,Flamengo,22,1996,29,29,2.537,28.2,25,9,34,20,5,5,13,1,23.2,19.6,6.3,259,91,86,233,089,032,121,071,103,082,022,105,070,092,Partidas,72d0e1b6
56,Matheus Barbosa,br BRA,LT,Avaí,24,1994,18,14,1.077,12.0,0,0,0,0,0,0,1,1,0.7,0.7,1.6,24,9,48,22,000,000,000,000,000,006,013,020,006,020,Partidas,78acef2e
57,Danilo Barcelos,br BRA,ZG,Vasco da Gama,27,1991,21,18,1.661,18.5,2,2,4,1,1,1,5,1,2.4,1.7,4.1,58,27,77,74,011,011,022,005,016,013,022,035,009,031,Partidas,26f4ef39
58,Leandro Barcia,uy URU,ATLT,Goiás,26,1992,35,32,2.783,30.9,5,3,8,5,0,0,9,0,6.4,6.4,3.5,99,45,37,185,016,010,026,016,026,021,011,032,021,032,Partidas,11d91ea7
59,Lucas Barros,br BRA,ZG,Botafogo (RJ),19,1999,12,5,558,6.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,01,7,11,30,000,000,000,000,000,000,001,001,000,001,Partidas,cbaf55df
60,Fellipe Bastos,br BRA,LT,Vasco da Gama,28,1990,14,5,574,6.4,1,0,1,1,0,0,4,0,2.1,2.1,0.5,25,7,33,7,016,000,016,016,016,032,007,040,032,040,Partidas,9b99eae0
61,Gabriel Batista,br BRA,G,Flamengo,20,1998,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,20575487
62,Muriel Becker,br BRA,G,Fluminense,31,1987,21,21,1.890,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,01,0,1,0,000,000,000,000,000,000,000,000,000,000,Partidas,826bc57f
63,Ramiro Benetti,br BRA,LT,Corinthians,25,1993,18,13,978,10.9,0,1,1,0,0,0,1,0,0.6,0.6,1.2,18,9,48,58,000,009,009,000,009,005,011,016,005,016,Partidas,96d14fe7
64,Orlando Berrío,co COL,ATLT,Flamengo,27,1991,16,4,453,5.0,1,2,3,1,0,0,3,1,2.1,2.1,1.6,37,17,10,56,020,040,060,020,060,042,031,074,042,074,Partidas,ae7bb5f5
65,Betão,br BRA,ZG,Avaí,35,1983,28,28,2.491,27.7,0,0,0,0,0,0,5,1,0.2,0.2,0.2,04,14,79,2,000,000,000,000,000,001,001,001,001,001,Partidas,f96e52eb
66,Bill,br BRA,AT,Flamengo,19,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,1,2,000,000,000,000,000,000,000,000,000,000,Partidas,35afbd3a
67,Gustavo Bochecha,br BRA,LT,Botafogo (RJ),22,1996,21,18,1.493,16.6,0,1,1,0,0,0,2,0,1.1,1.1,1.0,20,21,104,21,000,006,006,000,006,007,006,012,007,012,Partidas,90b0828a
68,Marcelo Boeck,br BRA,G,Fortaleza,34,1984,7,6,595,6.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,069cb4f8
69,Nenê Bonilha,br BRA,LTAT,Fortaleza,26,1992,6,2,262,2.9,0,0,0,0,0,0,1,0,0.3,0.3,0.2,05,6,15,8,000,000,000,000,000,009,008,017,009,017,Partidas,224e3926
70,Marllon Borges,br BRA,ZG,Corinthians,26,1992,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,01,2,10,0,000,000,000,000,000,003,000,003,003,003,Partidas,d0b29bbd
71,Miguel Borja,co COL,AT,Palmeiras,26,1993,9,3,349,3.9,1,1,2,1,0,0,1,0,1.0,1.0,0.2,12,5,9,24,026,026,052,026,052,025,005,030,025,030,Partidas,211dc5fd
72,Mauro Boselli,ar ARG,AT,Corinthians,33,1985,22,16,1.354,15.0,7,2,9,6,1,1,3,0,6.0,5.2,0.6,58,1,12,50,047,013,060,040,053,040,004,044,035,038,Partidas,284e865d
